Locus	Latitude	Longitude
BURN_01	52.978	0.753
BURN_02	52.978	0.753
BURN_03	52.978	0.753
BURN_04	52.978	0.753
BURN_05	52.978	0.753
BURN_06	52.978	0.753
BURN_07	52.978	0.753
BURN_08	52.978	0.753
BURN_09	52.978	0.753
BURN_10	52.978	0.753
GLAVEN_01	53.01183193117759	 1.1869805408954226
GLAVEN_02	53.01183193117759	 1.1869805408954226
GLAVEN_03	53.01183193117759	 1.1869805408954226
GLAVEN_04	53.01183193117759	 1.1869805408954226
GLAVEN_05	53.01183193117759	 1.1869805408954226
GLAVEN_06	53.01183193117759	 1.1869805408954226
GLAVEN_07	53.01183193117759	 1.1869805408954226
GLAVEN_08	53.01183193117759	 1.1869805408954226
GLAVEN_09	53.01183193117759	 1.1869805408954226
GLAVEN_10	53.01183193117759	 1.1869805408954226
GLAVEN_11	53.01183193117759	 1.1869805408954226
GLAVEN_12	53.01183193117759	 1.1869805408954226
GLAVEN_13	53.01183193117759	 1.1869805408954226
GLAVEN_14	53.01183193117759	 1.1869805408954226
GLAVEN_15	53.01183193117759	 1.1869805408954226
GLAVEN_16	53.01183193117759	 1.1869805408954226
GLAVEN_17	53.01183193117759	 1.1869805408954226
GLAVEN_18	53.01183193117759	 1.1869805408954226
GLAVEN_19	53.01183193117759	 1.1869805408954226
GLAVEN_20	53.01183193117759	 1.1869805408954226
GLAVEN_21	53.01183193117759	 1.1869805408954226
GLAVEN_22	53.01183193117759	 1.1869805408954226
GLAVEN_23	53.01183193117759	 1.1869805408954226
GLAVEN_24	53.01183193117759	 1.1869805408954226
GLAVEN_25	53.01183193117759	 1.1869805408954226
GLAVEN_26	53.01183193117759	 1.1869805408954226
GLAVEN_27	53.01183193117759	 1.1869805408954226
GLAVEN_28	53.01183193117759	 1.1869805408954226
GLAVEN_29	53.01183193117759	 1.1869805408954226
GLAVEN_30	53.01183193117759	 1.1869805408954226
GLAVEN_31	53.01183193117759	 1.1869805408954226
GLAVEN_32	53.01183193117759	 1.1869805408954226
GLAVEN_33	53.01183193117759	 1.1869805408954226
GLAVEN_34	53.01183193117759	 1.1869805408954226
GLAVEN_35	53.01183193117759	 1.1869805408954226
GLAVEN_36	53.01183193117759	 1.1869805408954226
GLAVEN_37	53.01183193117759	 1.1869805408954226
GLAVEN_38	53.01183193117759	 1.1869805408954226
GLAVEN_39	53.01183193117759	 1.1869805408954226
GLAVEN_40	53.01183193117759	 1.1869805408954226
GLAVEN_41	53.01183193117759	 1.1869805408954226
GLAVEN_42	53.01183193117759	 1.1869805408954226
NAR_01	52.9213605691682	 0.30801101646113777
NAR_02	52.9213605691682	 0.30801101646113777
NAR_03	52.9213605691682	 0.30801101646113777
NAR_04	52.9213605691682	 0.30801101646113777
NAR_05	52.9213605691682	 0.30801101646113777
NAR_06	52.9213605691682	 0.30801101646113777
NAR_07	52.9213605691682	 0.30801101646113777
NAR_08	52.9213605691682	 0.30801101646113777
NAR_09	52.9213605691682	 0.30801101646113777
NAR_10	52.9213605691682	 0.30801101646113777
NAR_11	52.9213605691682	 0.30801101646113777
NAR_12	52.9213605691682	 0.30801101646113777
NAR_13	52.9213605691682	 0.30801101646113777
NAR_14	52.9213605691682	 0.30801101646113777
NAR_15	52.9213605691682	 0.30801101646113777
NAR_16	52.9213605691682	 0.30801101646113777
NAR_17	52.9213605691682	 0.30801101646113777
NAR_18	52.9213605691682	 0.30801101646113777
NAR_19	52.9213605691682	 0.30801101646113777
NAR_20	52.9213605691682	 0.30801101646113777
NAR_21	52.9213605691682	 0.30801101646113777
NAR_22	52.9213605691682	 0.30801101646113777
NAR_23	52.9213605691682	 0.30801101646113777
NAR_24	52.9213605691682	 0.30801101646113777
NAR_25	52.9213605691682	 0.30801101646113777
NAR_26	52.9213605691682	 0.30801101646113777
NAR_27	52.9213605691682	 0.30801101646113777
NAR_28	52.9213605691682	 0.30801101646113777
NAR_29	52.9213605691682	 0.30801101646113777
NAR_30	52.9213605691682	 0.30801101646113777
NAR_31	52.9213605691682	 0.30801101646113777
NAR_32	52.9213605691682	 0.30801101646113777
NAR_33	52.9213605691682	 0.30801101646113777
NAR_34	52.9213605691682	 0.30801101646113777
NAR_35	52.9213605691682	 0.30801101646113777
NAR_36	52.9213605691682	 0.30801101646113777
NAR_37	52.9213605691682	 0.30801101646113777
NAR_38	52.9213605691682	 0.30801101646113777
NAR_39	52.9213605691682	 0.30801101646113777
NAR_40	52.9213605691682	 0.30801101646113777
STK_01	52.959	0.962
STK_02	52.959	0.962
STK_03	52.959	0.962
STK_04	52.959	0.962
STK_05	52.959	0.962
STK_06	52.959	0.962
STK_07	52.959	0.962
STK_08	52.959	0.962
STK_09	52.959	0.962
STK_10	52.959	0.962
STK_11	52.959	0.962
STK_12	52.959	0.962
STK_13	52.959	0.962
STK_14	52.959	0.962
STK_15	52.959	0.962
STK_16	52.959	0.962
STK_17	52.959	0.962
STK_18	52.959	0.962
STK_19	52.959	0.962
STK_20	52.959	0.962
STK_21	52.959	0.962
STK_22	52.959	0.962
STK_23	52.959	0.962
STK_24	52.959	0.962
STK_25	52.959	0.962
STK_26	52.959	0.962
STK_27	52.959	0.962
STK_28	52.959	0.962
STK_29	52.959	0.962
STK_30	52.959	0.962
STK_31	52.959	0.962
STK_32	52.959	0.962
STK_33	52.959	0.962
STK_34	52.959	0.962
STK_35	52.959	0.962
STK_36	52.959	0.962
STK_37	52.959	0.962
STK_38	52.959	0.962
STK_39	52.959	0.962
STK_40	52.959	0.962
STK_41	52.959	0.962
STK_42	52.959	0.962
STK_43	52.959	0.962
STK_44	52.959	0.962
STK_45	52.959	0.962
STK_46	52.959	0.962
STK_47	52.959	0.962
STK_48	52.959	0.962
STK_49	52.959	0.962
STK_50	52.959	0.962
STK_51	52.959	0.962
STK_52	52.959	0.962
STK_53	52.959	0.962
STK_54	52.959	0.962
STK_55	52.959	0.962
STK_56	52.959	0.962
STK_57	52.959	0.962
STK_58	52.959	0.962
STK_59	52.959	0.962
STK_60	52.959	0.962
STK_61	52.959	0.962
STK_62	52.959	0.962
STK_63	52.959	0.962
STK_64	52.959	0.962
STK_65	52.959	0.962
STK_66	52.959	0.962
STK_67	52.959	0.962
STK_68	52.959	0.962
STK_69	52.959	0.962
STK_70	52.959	0.962
STK_71	52.959	0.962
STK_72	52.959	0.962
STK_73	52.959	0.962
STK_74	52.959	0.962
STK_75	52.959	0.962
STK_76	52.959	0.962
STK_77	52.959	0.962
Esk01	54.490	-0.611
Esk02	54.490	-0.611
Esk03	54.490	-0.611
Esk04	54.490	-0.611
Esk05	54.490	-0.611
Esk06	54.490	-0.611
Esk07	54.490	-0.611
Esk08	54.490	-0.611
Esk09	54.490	-0.611
Esk10	54.490	-0.611
Esk11	54.490	-0.611
Esk12	54.490	-0.611
Esk13	54.490	-0.611
Esk14	54.490	-0.611
Esk15	54.490	-0.611
Esk16	54.490	-0.611
Esk17	54.490	-0.611
Esk18	54.490	-0.611
Esk19	54.490	-0.611
Esk20	54.490	-0.611
Esk21	54.490	-0.611
Esk22	54.490	-0.611
Esk23	54.490	-0.611
Esk24	54.490	-0.611
Esk25	54.490	-0.611
Esk26	54.490	-0.611
Esk27	54.490	-0.611
Esk28	54.490	-0.611
Esk29	54.490	-0.611
Esk30	54.490	-0.611
Esk31	54.490	-0.611
TEES_01	54.633	-1.155
TEES_02	54.633	-1.155
TEES_03	54.633	-1.155
TEES_04	54.633	-1.155
TEES_05	54.633	-1.155
TEES_06	54.633	-1.155
TEES_07	54.633	-1.155
TEES_08	54.633	-1.155
TEES_09	54.633	-1.155
TEES_10	54.633	-1.155
TEES_11	54.633	-1.155
TEES_12	54.633	-1.155
TEES_13	54.633	-1.155
TEES_14	54.633	-1.155
TEES_15	54.633	-1.155
TEES_16	54.633	-1.155
TEES_17	54.633	-1.155
TEES_18	54.633	-1.155
TEES_19	54.633	-1.155
TEES_20	54.633	-1.155
TEES_21	54.633	-1.155
TEES_22	54.633	-1.155
TEES_23	54.633	-1.155
TEES_24	54.633	-1.155
TEES_25	54.633	-1.155
TEES_26	54.633	-1.155
TEES_27	54.633	-1.155
TEES_28	54.633	-1.155
TEES_29	54.633	-1.155
TEES_30	54.633	-1.155
TEES_31	54.633	-1.155
TEES_32	54.633	-1.155
TEES_33	54.633	-1.155
TEES_34	54.633	-1.155
Tyne1_01	55.039	-1.421
Tyne1_02	55.039	-1.421
Tyne1_03	55.039	-1.421
Tyne1_04	55.039	-1.421
Tyne1_05	55.039	-1.421
Tyne1_06	55.039	-1.421
Tyne1_07	55.039	-1.421
Tyne1_08	55.039	-1.421
Tyne1_09	55.039	-1.421
Tyne1_10	55.039	-1.421
Tyne1_11	55.039	-1.421
Tyne1_12	55.039	-1.421
Tyne1_13	55.039	-1.421
Tyne1_14	55.039	-1.421
Tyne1_15	55.039	-1.421
Tyne1_16	55.039	-1.421
Tyne1_17	55.039	-1.421
Tyne1_18	55.039	-1.421
Tyne1_19	55.039	-1.421
Tyne1_20	55.039	-1.421
Tyne1_21	55.039	-1.421
Tyne1_22	55.039	-1.421
Tyne1_23	55.039	-1.421
Tyne1_24	55.039	-1.421
Tyne1_25	55.039	-1.421
Tyne1_26	55.039	-1.421
Tyne1_27	55.039	-1.421
Tyne1_28	55.039	-1.421
Tyne1_29	55.039	-1.421
Tyne1_30	55.039	-1.421
Tyne1_31	55.039	-1.421
Tyne1_32	55.039	-1.421
Tyne1_33	55.039	-1.421
Tyne1_34	55.039	-1.421
Tyne2_01	55.039	-1.421
Tyne2_02	55.039	-1.421
Tyne2_03	55.039	-1.421
Tyne2_04	55.039	-1.421
Tyne2_05	55.039	-1.421
Tyne2_06	55.039	-1.421
Tyne2_07	55.039	-1.421
Tyne2_08	55.039	-1.421
Tyne2_09	55.039	-1.421
Tyne2_10	55.039	-1.421
Tyne2_11	55.039	-1.421
Tyne2_12	55.039	-1.421
Tyne2_13	55.039	-1.421
Tyne2_14	55.039	-1.421
Tyne2_15	55.039	-1.421
Tyne2_16	55.039	-1.421
Tyne2_17	55.039	-1.421
Tyne2_18	55.039	-1.421
Tyne2_19	55.039	-1.421
Tyne2_20	55.039	-1.421
Tyne2_21	55.039	-1.421
Tyne2_22	55.039	-1.421
Tyne2_23	55.039	-1.421
Tyne2_24	55.039	-1.421
Tyne2_25	55.039	-1.421
Tyne2_26	55.039	-1.421
Tyne2_27	55.039	-1.421
Tyne2_28	55.039	-1.421
Tyne2_29	55.039	-1.421
Tyne3_01	55.039	-1.421
Tyne3_02	55.039	-1.421
Tyne3_03	55.039	-1.421
Tyne3_04	55.039	-1.421
Tyne3_05	55.039	-1.421
Tyne3_06	55.039	-1.421
Tyne3_07	55.039	-1.421
Tyne3_08	55.039	-1.421
Tyne3_09	55.039	-1.421
Tyne3_10	55.039	-1.421
Tyne3_11	55.039	-1.421
Tyne3_12	55.039	-1.421
Tyne3_13	55.039	-1.421
Tyne3_14	55.039	-1.421
Tyne3_15	55.039	-1.421
Tyne3_16	55.039	-1.421
Tyne3_17	55.039	-1.421
Tyne3_18	55.039	-1.421
Tyne3_19	55.039	-1.421
Tyne3_20	55.039	-1.421
Tyne3_21	55.039	-1.421
Tyne3_22	55.039	-1.421
Tyne3_23	55.039	-1.421
Tyne3_24	55.039	-1.421
Tyne3_25	55.039	-1.421
Tyne3_26	55.039	-1.421
Tyne3_27	55.039	-1.421
Tyne3_28	55.039	-1.421
Tyne3_29	55.039	-1.421
Tyne3_30	55.039	-1.421
Tyne3_31	55.039	-1.421
Tyne3_32	55.039	-1.421
Tyne3_33	55.039	-1.421
Tyne3_34	55.039	-1.421
Tyne3_35	55.039	-1.421
Tyne3_36	55.039	-1.421
Tyne3_37	55.039	-1.421
Tyne3_38	55.039	-1.421
Tyne3_39	55.039	-1.421
Wear_01	54.913	-1.368
Wear_02	54.913	-1.368
Wear_03	54.913	-1.368
Wear_04	54.913	-1.368
Wear_05	54.913	-1.368
Wear_06	54.913	-1.368
Wear_07	54.913	-1.368
Wear_08	54.913	-1.368
Wear_09	54.913	-1.368
Wear_10	54.913	-1.368
Wear_11	54.913	-1.368
Wear_12	54.913	-1.368
Wear_13	54.913	-1.368
Wear_14	54.913	-1.368
Wear_15	54.913	-1.368
Wear_16	54.913	-1.368
Wear_17	54.913	-1.368
Wear_18	54.913	-1.368
Wear_19	54.913	-1.368
Wear_20	54.913	-1.368
Wear_21	54.913	-1.368
Wear_22	54.913	-1.368
Wear_23	54.913	-1.368
Wear_24	54.913	-1.368
Wear_25	54.913	-1.368
Wear_26	54.913	-1.368
Wear_27	54.913	-1.368
Wear_28	54.913	-1.368
Wear_29	54.913	-1.368
Wear_30	54.913	-1.368
Wear_31	54.913	-1.368
Wear_32	54.913	-1.368
Wear_33	54.913	-1.368
Wear_34	54.913	-1.368
Aln_01	55.385	-1.606
Aln_02	55.385	-1.606
Aln_03	55.385	-1.606
Aln_04	55.385	-1.606
Aln_05	55.385	-1.606
Aln_06	55.385	-1.606
Aln_07	55.385	-1.606
